# Source: 1PR상품관리_BASE.xlsx
# Local/cache path: C:\MY_FULL_AI\MY_CUSTOM_CODEX-COMPANY\_local\cache\deep\xlsx\1PR상품관리_BASE.xlsx
# mtime: 2026-08-27T17:00:55
# size_bytes: 6285403
# Sheets: 모델별채산성, 반품율, FEE
# Mode: deep-initial (values+colors)
# Extracted: 2026-08-27T17:01:07+09:00

## 모델별채산성
계정 | 브랜드 |  | PRSKU | PR별칭 | PR ASIN | 간략모델명 | 단종 |  | 패킹단위 | MSRP | 루트PR | 가격 Standard Price |  | 최종 판매 가격 |  |  | 마진 | 마진(%) | F.O.B | 공급가 +수입부대비용 | 수수료 | fba fee | 배송비 +수출관세 | mpf | 미국수출관세 (관세율 수정) | 무게 |  | 해상배송비 +수출관세 | AIR배송비 +수출관세 |  | 한국수입 부대비용 | PR SKU | PR별칭 | 전체비용 | 원산지 | 성별 | 계절 | 브랜드 | 대분류 | 주무수량 | 실제주문수 | 반품수 | 반품율 | UFF RATE | UFF 수량 | 재처리비용-카이로스 | 리무벌비용-카이로스 | 재생 비율 | 매출 | 반품 상품 수수료 | 반품 상품 공급가 | 반품 상품 배송비 | reimbursement | SPEND | 공급가 | 수수료 | FBA FEE | 배송비 | MPF
KR | TSLA |  | KR21021_TMMUH02_PR | BL_BLCVA | B08WR753ZV | MUH52 | 단종 |  | 85.1923076923077 | 52.98 | USELESS | 28.98 |  | 9.95 |  |  | -2.494647351252823 | -0.25916717672015477 | 6.34 | 6.38755 | 0.4975 | 4.23 | 1.1522532731376975 |  | 0.11 | 234 |  | 1.1522532731376975 | 2.335537279491681 |  | 0.02499999999999991 | KR21021_TMMUH02_PR | BL_BLCVA | 12.267303273137697 | 베트남 | 남성 | 사계절 | TSLA | 언더레이어 | 1 | 0.9674 | 0.03259999999999996 | 0.0326 | 0.01 | 0.01 | 6.2 | 3.1 | 0.7 | 9.95 | 0.01621849999999998 | 0.20823412999999977 | 0.03756345670428889 | 0.011917744999999983 |  | 6.38755 | 0.4975 | 4.23 | 1.1522532731376975 | 0
KR | TSLA |  | KR19111_TMMUN24_PR | BL_TANK | B081SR8856 | MUN04 | 단종 |  | 104.2758620689655 | 29.98 | BL_TANK | 11.98 |  | 5.95 |  |  | -1.8340506499338636 | -0.3392887250540162 | 2.43 | 2.448225 | 0.29750000000000004 | 4.04 | 0.6389104497354499 |  | 0.11 | 118 |  | 0.6389104497354499 | 1.6349229668822265 |  | 0.02499999999999991 | KR19111_TMMUN24_PR | BL_TANK | 7.424635449735449 | 베트남 | 남성 | 사계절 | TSLA | 언더레이어 | 1 | 0.9085 | 0.09150000000000003 | 0.0915 | 0.01 | 0.01 | 6.2 | 3.1 | 0.7 | 5.95 | 0.027221250000000013 | 0.22401258750000005 | 0.05846030615079368 | 0.010328062500000004 |  | 2.448225 | 0.29750000000000004 | 4.04 | 0.6389104497354499 | 0
KR | TSLA |  | KR19111_TMMUN24_PR | BL_TANK | B081SR8856 | MUN24 | 단종 |  | 28 | 39.98 | BL_TANK | 22.98 |  | 27.01703703703704 |  |  | 5.502497598728571 | 0.2317302227407009 | 7.29 | 7.344675 | 4.5928962962962965 | 5.46 | 2.1858285714285715 |  | 0.11 | 302 |  | 2.1858285714285715 | 5.459254497354498 |  | 0.02499999999999991 | KR19111_TMMUN24_PR | BL_TANK | 19.583399867724868 | 베트남 | 남성 | 사계절 | TSLA | 언더레이어 | 1 | 0.8789 | 0.12109999999999999 | 0.1211 | 0.03 | 0.03 | 6.2 | 3.1 | 0.7 | 27.01703703703704 | 0.5561997414814814 | 0.8894401424999998 | 0.26470383999999997 | 0.14380502105925927 |  | 7.344675 | 4.5928962962962965 | 5.46 | 2.1858285714285715 | 0
KR | TSLA |  | KR19111_TMMUN24_PR | BL_TANK | B081SR8856 | MUN54 | 단종 |  | 100 | 35.98 | BL_TANK | 13.98 |  | 9.95 |  |  | 2.175840625 | 0.21867744974874376 | 3.75 | 3.7781249999999997 | 0.4975 | 2.6 | 0.8 |  | 0.11 | 115 |  | 0.8 | 1.8317592592592593 |  | 0.02499999999999991 | KR19111_TMMUN24_PR | BL_TANK | 7.675624999999999 | 베트남 | 남성 | 사계절 | TSLA | 언더레이어 | 1 | 1 | 0 | 0 | 0.01 | 0.01 | 6.2 | 3.1 | 0.7 | 9.95 | 0 | 0 | 0 | 0 |  | 3.7781249999999997 | 0.4975 | 2.6 | 0.8 | 0
KR | TSLA |  | KR19111_TMMUN24_PR | BL_TANK | B081SR8856 | N15 | 단종 |  | 126.0504201680672 | 29.98 | BL_TANK | 7.98 |  | 7.98 |  |  | 0.1636938583333336 | 0.02331024412356653 | 2.35 | 2.367625 | 0.399 | 3.63 | 0.5659166666666667 |  | 0.11 | 119 |  | 0.5659166666666667 | 1.4175123456790124 |  | 0.02499999999999991 | KR19111_TMMUN24_PR | BL_TANK | 6.962541666666667 | 베트남 | 남성 | 사계절 | TSLA | 언더레이어 | 1 | 0.88 | 0.12 | 0.12 | 0.03 | 0.03 | 6.2 | 3.1 | 0.7 | 7.98 | 0.04788 | 0.28411499999999995 | 0.06791000000000001 | 0.03318840000000001 |  | 2.367625 | 0.399 | 3.63 | 0.5659166666666667 | 0
KR | TSLA |  | KR19111_TMMUA05_PR | BL_SLVLESS | B081RXYD3T | MUA05 | 단종 |  | 81 | 29.98 | BL_SLVLESS | 12.98 |  | 6.95 |  |  | -0.24828967919753087 | -0.03937087689826588 | 2.69 | 2.710175 | 0.34750000000000003 | 2.97 | 0.774295061728395 |  | 0.11 | 140 |  | 0.774295061728395 | 2.0105410608139 |  | 0.02499999999999991 | KR19111_TMMUA05_PR | BL_SLVLESS | 6.801970061728396 | 베트남 | 남성 | 사계절 | TSLA | 언더레이어 | 1 | 0.9074 | 0.09260000000000002 | 0.0926 | 0.01 | 0.01 | 6.2 | 3.1 | 0.7 | 6.95 | 0.032178500000000006 | 0.25096220500000005 | 0.0716997227160494 | 0.023545865000000006 |  | 2.710175 | 0.34750000000000003 | 2.97 | 0.774295061728395 | 0
KR | TSLA |  | KR19111_TMMUA05_PR | BL_SLVLESS | B081RXYD3T | MUA25 | 단종 |  | 29 | 39.98 | BL_SLVLESS | 25.98 |  | 16.95 |  |  | -0.5090169176724153 | -0.032695151461994136 | 8.07 | 8.130525 | 1.695 | 4.89 | 2.223906896551724 |  | 0.11 | 420 |  | 2.223906896551724 | 5.389973307790549 |  | 0.02499999999999991 | KR19111_TMMUA05_PR | BL_SLVLESS | 16.939431896551724 | 베트남 | 남성 | 사계절 | TSLA | 언더레이어 | 1 | 0.9185 | 0.08150000000000002 | 0.0815 | 0.01 | 0.01 | 6.2 | 3.1 | 0.7 | 16.95 | 0.13814250000000003 | 0.6626377875000001 | 0.18124841206896553 | 0.059132325000000006 |  | 8.130525 | 1.695 | 4.89 | 2.223906896551724 | 0
KR | TSLA |  | KR19111_TMMUA05_PR | BL_SLVLESS | B081RXYD3T | MUA55 | 단종 |  | 116.2790697674419 | 39.980000000000004 | BL_SLVLESS | 15.98 |  | 16.31333333333333 |  |  | 3.3018439249999982 | 0.2300017594596351 | 3.75 | 3.7781249999999997 | 1.631333333333333 | 5.32 | 0.7457499999999999 |  | 0.11 | 129 |  | 0.7457499999999999 | 1.6554629629629627 |  | 0.02499999999999991 | KR19111_TMMUA05_PR | BL_SLVLESS | 11.475208333333333 | 베트남 | 남성 | 사계절 | TSLA | 언더레이어 | 1 | 0.88 | 0.12 | 0.12 | 0.03 | 0.03 | 6.2 | 3.1 | 0.7 | 16.31333333333333 | 0.19575999999999996 | 0.453375 | 0.08948999999999999 | 0.07864079999999997 |  | 3.7781249999999997 | 1.631333333333333 | 5.32 | 0.7457499999999999 | 0
KR | TSLA |  | KR19111_TMMUA05_PR | BL_SLVLESS | B081RXYD3T | MUA65 | 단종 |  | 53.38078291814946 | 35.98 | BL_SLVLESS | 19.98 |  | 19.98 |  |  | 5.483949233333334 | 0.31189992454575793 | 5.42 | 5.460649999999999 | 1.9980000000000002 | 4.07 | 1.3221166666666668 |  | 0.11 | 281 |  | 1.3221166666666668 | 3.115212345679013 |  | 0.02499999999999991 | KR19111_TMMUA05_PR | BL_SLVLESS | 12.850766666666665 | 베트남 | 남성 | 사계절 | TSLA | 언더레이어 | 1 | 0.88 | 0.12 | 0.12 | 0.03 | 0.03 | 6.2 | 3.1 | 0.7 | 19.98 | 0.23976000000000003 | 0.6552779999999999 | 0.15865400000000002 | 0.11686080000000001 |  | 5.460649999999999 | 1.9980000000000002 | 4.07 | 1.3221166666666668 | 0
KR | TSLA |  | KR19111_TMMUA05_PR | BL_SLVLESS | B081RXYD3T | MUA85 | 단종 |  | 100.3333333333333 | 39.980000000000004 | BL_SLVLESS | 15.98 |  | 16.36722222222222 |  |  | 5.160961362541526 | 0.31532298471113496 | 3.95 | 3.979625 | 1.6367222222222222 | 4.67 | 0.8207126245847177 |  | 0.11 | 111 |  | 0.8207126245847177 | 1.849575673680325 |  | 0.02499999999999991 | KR19111_TMMUA05_PR | BL_SLVLESS | 11.10705984680694 | 베트남 | 남성 | 사계절 | TSLA | 언더레이어 | 1 | 1 | 0 | 0 | 0.01 | 0.01 | 6.2 | 3.1 | 0.7 | 16.36722222222222 | 0 | 0 | 0 | 0 |  | 3.979625 | 1.6367222222222222 | 4.67 | 0.8207126245847177 | 0
