# Source: 00_NEW_상품라인업.xlsx
# Path: \\Nas\공용_시장조사팀\01_상품기획파트\05_상품개발\00_NEW_상품라인업.xlsx
# mtime: 2026-08-21T11:36:27
# Sheets: CQR, TSLA_ATHLIO
# Mode: low-load read_only extract

## CQR
브랜드 | 이미지 | 구모델 | 모델명 | 발주서명 | 라인1 | 라인2 | 시리즈이름(OPT) | 스타일이름 | 원단이름 | 원단 정보 | 슬로건 | PR | 1번 | 스와치 컬러 | 스와치 포즈 | 촬영리뷰 파일 | 시즌
CQR |  |  | HLP920 | 쉐르파3L소프트쉘 | Expedition | Alpinist |  | KATMAI | ARCTLOFT | P92/S8 | Unbound by Frost | KR05071_CQHLP831_PR | 모델컷 | 미정 | 모델컷
CQR |  |  | WHP830 | NP투톤 | Liberator | Modern |  | NEVIS | TETON | N70/P22/S8 2-TONE BRUSHED | COLD WIND "FEARLESS" | NEW_W THRM PANTS | 모델컷 | 화이트 | 모델컷 |  | 겨울
CQR |  |  | TLP001 | 립스탑팬츠 | Sapper |  |  | PROXY | Duratex | TC 65/35 RIPSTOP | FUEL WITH GRIT | KR20101_CQTWP302_PR | 모델컷 | 화이트 | 모델컷 |  | 사계절
CQR |  |  | TWP320 | 립스탑팬츠 | Sapper |  |  | FRONTLINE | Duratex | TC 65/35 RIPSTOP |  | KR20101_CQTWP302_PR | 모델컷 | 베이지 | 모델컷 |  | 사계절
CQR |  |  | TWP330 | 립스탑팬츠 | Sapper |  |  | FRONTLINE | Duratex | TC 65/35 RIPSTOP |  | KR20101_CQTWP302_PR | 모델컷 | 베이지 | 모델컷 |  | 사계절
CQR |  |  | TWP308 | 립스탑팬츠 | Sapper |  |  | ELEVON | Duratex | TC 65/35 RIPSTOP | Fuel the Future with Grit. | KR20101_CQTWP302_PR | 모델컷 | 블루 | 모델컷 |  | 사계절
CQR |  |  | TWP720 | 플렉스팬츠 | Sapper |  |  | KYNEX | DuraFlex | P63/C34/S3 RIPSTOP | Tools in Hand, Comfort on Demand | KR20101_CQTWP302_PR | 모델컷 | 블루 | 모델컷 | 2024_07 | 사계절
CQR |  |  | TWP707 | 플렉스팬츠 | Sapper |  |  | PIONEER | DuraFlex | P63/C34/S3 RIPSTOP | Built to Forge | KR20101_CQTWP302_PR | 모델컷 | 베이지 | 모델컷 | 2024_10 | 사계절
CQR |  |  | TWP708 | 플렉스팬츠 | Sapper |  |  | PIONEER | DuraFlex | P63/C34/S3 RIPSTOP | Built to Forge | KR20101_CQTWP302_PR | 모델컷 | 프린트 | N/A | 2025_03 | 사계절
CQR |  |  | TXP200 | 여름도비팬츠 | Expedition | Alpinist |  | ROCKY Z | AERO-FLEX |  | Climb Higher, Explore Further. | KR19111_CQTXP401_PR | 모델컷 | 화이트 | 모델컷 | 2024_11 | 사계절
CQR |  |  | TXP201 | 여름도비팬츠 | Expedition | Alpinist |  | ROCKY | AERO-FLEX | P90/S10 DOBBY | Climb Higher, Explore Further. | KR19111_CQTXP401_PR | 마네킹 | 화이트 | 모델컷 |  | 사계절
CQR |  | TXP440 | TXP441 | NS드라이 | Expedition | Alpinist | Runyon | RUNYON | AERO-FLEX | N86/PU14 Plain 147gsm | Advance Off-Trail | KR19111_CQTXP401_PR | 마네킹 | 블루 | 모델컷 |  | 사계절
CQR |  | TXP201 | TXP202 | NS드라이 | Expedition | Alpinist |  | ROCKY PRO | AERO-FLEX Gen2 | N86/PU14 Plain 147gsm | Eyes on the Ridge | KR19111_CQTXP401_PR | 마네킹 | 베이지 | 모델컷 | 2025_10 | 사계절
CQR |  |  | TXP203 | NS드라이 | Expedition | Alpinist |  | ROCKY ALP | AERO-FLEX Gen2 | N86/PU14 Plain 147gsm | Claim the Peak | KR19111_CQTXP401_PR | 마네킹 | 그린 | 모델컷 | 2025_10 | 사계절
CQR |  |  | TXP900 | 나일론컴포트 | Expedition | Alpinist |  | SIERRA | COMFORT-FLEX | N95/S5 | BEYOND THE PEAK | KR05031_CQTXP900_PR | 모델컷 | 화이트 | 모델컷 | 2024_09 | 사계절
CQR |  |  | TXP802 | CN냉감팬츠 | Covert |  |  | SEDONA | Tac-Chill / Tac-Comfort | C61/N36/S3 | Urban Stealth | KR04051_CQTXP805_PR | 모델컷 | 화이트 | 모델컷 |  | 사계절
CQR |  |  | TXP805 | CN냉감팬츠 | Covert |  |  | SEDONA Z | Tac-Chill / Tac-Comfort | C61/N36/S3 | Free Ranger -> Breathes Through Every Mission | KR04051_CQTXP805_PR | 모델컷 | 베이지 | 모델컷 |  | 사계절
CQR |  |  | TXP901 | 나일론컴포트 | Covert |  |  | SPECTRE | COMFORT-FLEX | N95/S5 | City Tough | KR04051_CQTXP805_PR | 모델컷 | 블루 | 모델컷 |  | 사계절
CQR | 미정 |  | TLP470 | 벤쳐플렉스 | Expedition | Rider |  | VENTURE | VENTURE-FLEX | C98/S2 | Roam the Wilds | KR05011_CQTLP471_PR | 모델컷 | 화이트 | 모델컷 | 2025_09 | 사계절
CQR |  |  | TLP471 | 벤쳐플렉스 | Expedition | Rider |  | VENTURE | VENTURE-FLEX | C98/S2 | Walk the Wilds | KR05011_CQTLP471_PR | 모델컷 | 베이지 | 모델컷 | 2024_11 | 사계절
CQR |  |  | TXS803 | CN냉감팬츠 | Covert |  |  | SEDONA | Tac-Chill / Tac-Comfort | C61/N36/S3 | (Just the) Signal to Move. | KR05011_CQTXS803_PR | 모델컷 | 화이트 | 모델컷 | 2024_11 | 여름
CQR |  |  | TXS804 | CN냉감팬츠 | Covert |  |  | SEDONA | Tac-Chill / Tac-Comfort | C61/N36/S3 | (Just the) Signal to Move. | KR05011_CQTXS803_PR | 모델컷 | 화이트 | 모델컷 | 2025_10 | 여름
CQR |  |  | TXS903 | 나일론컴포트 | Liberator | Black |  | VANTA Shorts | COMFORT-FLEX | N95/S5 | PURPOSE UNLEASHED | KR05011_CQTXS803_PR | 모델컷 | 화이트 | 모델컷 | 2025_10 | 여름
CQR |  |  | TXS002 | PS팬츠 | Expedition | Alpinist |  | ROUTINE |  | P92/S8 | Travel Easy, Explore Further. | KR19111_CQTSP202_PR | 모델컷 | 화이트 | 모델컷 | 2024_11 | 여름
CQR |  |  | TXS204 | 여름도비팬츠 | Expedition | Alpinist |  | ROCKY | AERO-FLEX | P90/S10 DOBBY | Climb Higher, Explore Further. -> GO OFF-TRAIL | KR19111_CQTSP202_PR | 모델컷 | 베이지 | 모델컷 |  | 여름
CQR |  | TXS204 | TXS201 | NS드라이 | Expedition | Alpinist | Rocky | ROCKY PRO | AERO-FLEX Gen2 | N86/PU14 Plain 147gsm | ON ROUTE, ON WATCH | KR19111_CQTSP202_PR | 모델컷 | 베이지 | 모델컷 | 2025_10 | 여름
CQR |  | TXS303 | TXS101 | 어센드팬츠 | Expedition | Alpinist | Ascend | PEAK | Breeze Ripstop | N 87% SP 13% 160gsm | Secure the Peak | KR19111_CQTSP202_PR | 모델컷 | 그린 | 모델컷 | 2025_09 | 여름
CQR |  | TXS303 | TXS103 | 어센드팬츠 | Expedition | Alpinist | Ascend | PEAK | Breeze Ripstop | N 87% SP 13% 160gsm | Secure the Peak | KR19111_CQTSP202_PR | 모델컷 | 그린 | 모델컷 | 2025_09 | 여름
